Year,Province,Gender,AgeBin,OnART,two_sigma,Source
2004.5,Homa_Bay,Male,[15:100),1067,213.4,
2005.5,Homa_Bay,Male,[15:100),2313,462.6,
2006.5,Homa_Bay,Male,[15:100),5148,1029.6,
2007.5,Homa_Bay,Male,[15:100),7194,1438.8,
2008.5,Homa_Bay,Male,[15:100),10002,2000.4,
2009.5,Homa_Bay,Male,[15:100),14436,2887.2,
2010.5,Homa_Bay,Male,[15:100),17178,3435.6,
2011.5,Homa_Bay,Male,[15:100),15954,3190.8,
2012.5,Homa_Bay,Male,[15:100),17522,3504.4,
2013.5,Homa_Bay,Male,[15:100),18279,3655.8,
2004.5,Homa_Bay,Female,[15:100),1359,271.8,
2005.5,Homa_Bay,Female,[15:100),2944,588.8,
2006.5,Homa_Bay,Female,[15:100),6551,1310.2,
2007.5,Homa_Bay,Female,[15:100),9155,1831,
2008.5,Homa_Bay,Female,[15:100),12522,2504.4,
2009.5,Homa_Bay,Female,[15:100),17202,3440.4,
2010.5,Homa_Bay,Female,[15:100),21798,4359.6,
2011.5,Homa_Bay,Female,[15:100),31454,6290.8,
2012.5,Homa_Bay,Female,[15:100),35182,7036.4,
2013.5,Homa_Bay,Female,[15:100),38819,7763.8,
2004.5,Kisumu,Male,[15:100),945,189,
2005.5,Kisumu,Male,[15:100),2047,409.4,
2006.5,Kisumu,Male,[15:100),4557,911.4,
2007.5,Kisumu,Male,[15:100),6368,1273.6,
2008.5,Kisumu,Male,[15:100),8853,1770.6,
2009.5,Kisumu,Male,[15:100),12779,2555.8,
2010.5,Kisumu,Male,[15:100),15206,3041.2,
2011.5,Kisumu,Male,[15:100),14122,2824.4,
2012.5,Kisumu,Male,[15:100),15511,3102.2,
2013.5,Kisumu,Male,[15:100),16180,3236,
2004.5,Kisumu,Female,[15:100),1203,240.6,
2005.5,Kisumu,Female,[15:100),2606,521.2,
2006.5,Kisumu,Female,[15:100),5799,1159.8,
2007.5,Kisumu,Female,[15:100),8104,1620.8,
2008.5,Kisumu,Female,[15:100),11084,2216.8,
2009.5,Kisumu,Female,[15:100),15227,3045.4,
2010.5,Kisumu,Female,[15:100),19296,3859.2,
2011.5,Kisumu,Female,[15:100),27843,5568.6,
2012.5,Kisumu,Female,[15:100),31143,6228.6,
2013.5,Kisumu,Female,[15:100),34362,6872.4,
2004.5,Migori,Male,[15:100),711,142.2,
2005.5,Migori,Male,[15:100),1541,308.2,
2006.5,Migori,Male,[15:100),3430,686,
2007.5,Migori,Male,[15:100),4793,958.6,
2008.5,Migori,Male,[15:100),6664,1332.8,
2009.5,Migori,Male,[15:100),9619,1923.8,
2010.5,Migori,Male,[15:100),11446,2289.2,
2011.5,Migori,Male,[15:100),10630,2126,
2012.5,Migori,Male,[15:100),11675,2335,
2013.5,Migori,Male,[15:100),12179,2435.8,
2004.5,Migori,Female,[15:100),905,181,
2005.5,Migori,Female,[15:100),1961,392.2,
2006.5,Migori,Female,[15:100),4365,873,
2007.5,Migori,Female,[15:100),6100,1220,
2008.5,Migori,Female,[15:100),8343,1668.6,
2009.5,Migori,Female,[15:100),11461,2292.2,
2010.5,Migori,Female,[15:100),14524,2904.8,
2011.5,Migori,Female,[15:100),20958,4191.6,
2012.5,Migori,Female,[15:100),23442,4688.4,
2013.5,Migori,Female,[15:100),25865,5173,
2004.5,Siaya,Male,[15:100),860,172,
2005.5,Siaya,Male,[15:100),1864,372.8,
2006.5,Siaya,Male,[15:100),4148,829.6,
2007.5,Siaya,Male,[15:100),5797,1159.4,
2008.5,Siaya,Male,[15:100),8060,1612,
2009.5,Siaya,Male,[15:100),11633,2326.6,
2010.5,Siaya,Male,[15:100),13843,2768.6,
2011.5,Siaya,Male,[15:100),12856,2571.2,
2012.5,Siaya,Male,[15:100),14120,2824,
2013.5,Siaya,Male,[15:100),14730,2946,
2004.5,Siaya,Female,[15:100),1095,219,
2005.5,Siaya,Female,[15:100),2372,474.4,
2006.5,Siaya,Female,[15:100),5279,1055.8,
2007.5,Siaya,Female,[15:100),7377,1475.4,
2008.5,Siaya,Female,[15:100),10090,2018,
2009.5,Siaya,Female,[15:100),13862,2772.4,
2010.5,Siaya,Female,[15:100),17566,3513.2,
2011.5,Siaya,Female,[15:100),25347,5069.4,
2012.5,Siaya,Female,[15:100),28351,5670.2,
2013.5,Siaya,Female,[15:100),31281,6256.2,
2011.5,Kisii,Male,[15:100),2972,594.4,
2011.5,Kisii,Female,[15:100),7902,1580.4,
2011.5,Nyamira,Male,[15:100),1362,272.4,
2011.5,Nyamira,Female,[15:100),3766,753.2,
2004.5,All,Both,[15:100),8954,1790.8,
2005.5,All,Both,[15:100),19404,3880.8,
2006.5,All,Both,[15:100),43185,8637,
2007.5,All,Both,[15:100),60350,12070,
2008.5,All,Both,[15:100),83142,16628.4,
2009.5,All,Both,[15:100),116787,23357.4,
2010.5,All,Both,[15:100),143877,28775.4,
2011.5,All,Both,[15:100),175003,35000.6,
2012.5,All,Both,[15:100),194552,38910.4,
2013.5,All,Both,[15:100),210769,42153.8,
2014.5,All,Both,[15:100),246293,49258.6,
2015.5,All,Both,[15:100),301029,60205.8,
2016.5,All,Both,[15:100),333333,66666.6,
2017.5,All,Both,[15:100),389159,77831.8,
2014.5,Homa_Bay,Male,[0:15),2945,589,
2015.5,Homa_Bay,Male,[0:15),3583,716.6,
2016.5,Homa_Bay,Male,[0:15),4109,821.8,
2017.5,Homa_Bay,Male,[0:15),4192,838.4,
2014.5,Homa_Bay,Male,[15:100),19157,3831.4,
2015.5,Homa_Bay,Male,[15:100),22834,4566.8,
2016.5,Homa_Bay,Male,[15:100),26441,5288.2,
2017.5,Homa_Bay,Male,[15:100),29220,5844,
2014.5,Homa_Bay,Female,[0:15),3431,686.2,
2015.5,Homa_Bay,Female,[0:15),3835,767,
2016.5,Homa_Bay,Female,[0:15),4426,885.2,
2017.5,Homa_Bay,Female,[0:15),4535,907,
2014.5,Homa_Bay,Female,[15:100),40118,8023.6,
2015.5,Homa_Bay,Female,[15:100),49956,9991.2,
2016.5,Homa_Bay,Female,[15:100),57286,11457.2,
2017.5,Homa_Bay,Female,[15:100),61811,12362.2,
2014.5,Kisii,Male,[0:15),828,165.6,
2015.5,Kisii,Male,[0:15),993,198.6,
2016.5,Kisii,Male,[0:15),1109,221.8,
2017.5,Kisii,Male,[0:15),1083,216.6,
2014.5,Kisii,Male,[15:100),4614,922.8,
2015.5,Kisii,Male,[15:100),5451,1090.2,
2016.5,Kisii,Male,[15:100),6604,1320.8,
2017.5,Kisii,Male,[15:100),7169,1433.8,
2014.5,Kisii,Female,[0:15),906,181.2,
2015.5,Kisii,Female,[0:15),1079,215.8,
2016.5,Kisii,Female,[0:15),1200,240,
2017.5,Kisii,Female,[0:15),1146,229.2,
2014.5,Kisii,Female,[15:100),11691,2338.2,
2015.5,Kisii,Female,[15:100),14350,2870,
2016.5,Kisii,Female,[15:100),17274,3454.8,
2017.5,Kisii,Female,[15:100),19044,3808.8,
2014.5,Kisumu,Male,[0:15),3101,620.2,
2015.5,Kisumu,Male,[0:15),3245,649,
2016.5,Kisumu,Male,[0:15),3525,705,
2017.5,Kisumu,Male,[0:15),3607,721.4,
2014.5,Kisumu,Male,[15:100),21216,4243.2,
2015.5,Kisumu,Male,[15:100),24550,4910,
2016.5,Kisumu,Male,[15:100),28082,5616.4,
2017.5,Kisumu,Male,[15:100),31021,6204.2,
2014.5,Kisumu,Female,[0:15),3241,648.2,
2015.5,Kisumu,Female,[0:15),3393,678.6,
2016.5,Kisumu,Female,[0:15),3810,762,
2017.5,Kisumu,Female,[0:15),3831,766.2,
2014.5,Kisumu,Female,[15:100),41230,8246,
2015.5,Kisumu,Female,[15:100),48424,9684.8,
2016.5,Kisumu,Female,[15:100),56384,11276.8,
2017.5,Kisumu,Female,[15:100),60789,12157.8,
2014.5,Migori,Male,[0:15),2309,461.8,
2015.5,Migori,Male,[0:15),2295,459,
2016.5,Migori,Male,[0:15),2678,535.6,
2017.5,Migori,Male,[0:15),2673,534.6,
2014.5,Migori,Male,[15:100),13929,2785.8,
2015.5,Migori,Male,[15:100),15165,3033,
2016.5,Migori,Male,[15:100),17438,3487.6,
2017.5,Migori,Male,[15:100),18455,3691,
2014.5,Migori,Female,[0:15),2526,505.2,
2015.5,Migori,Female,[0:15),2448,489.6,
2016.5,Migori,Female,[0:15),2868,573.6,
2017.5,Migori,Female,[0:15),2884,576.8,
2014.5,Migori,Female,[15:100),27896,5579.2,
2015.5,Migori,Female,[15:100),31964,6392.8,
2016.5,Migori,Female,[15:100),38637,7727.4,
2017.5,Migori,Female,[15:100),40891,8178.2,
2014.5,Nyamira,Male,[0:15),484,96.8,
2015.5,Nyamira,Male,[0:15),552,110.4,
2016.5,Nyamira,Male,[0:15),578,115.6,
2017.5,Nyamira,Male,[0:15),611,122.2,
2014.5,Nyamira,Male,[15:100),2120,424,
2015.5,Nyamira,Male,[15:100),2585,517,
2016.5,Nyamira,Male,[15:100),3142,628.4,
2017.5,Nyamira,Male,[15:100),3474,694.8,
2014.5,Nyamira,Female,[0:15),506,101.2,
2015.5,Nyamira,Female,[0:15),567,113.4,
2016.5,Nyamira,Female,[0:15),601,120.2,
2017.5,Nyamira,Female,[0:15),622,124.4,
2014.5,Nyamira,Female,[15:100),5964,1192.8,
2015.5,Nyamira,Female,[15:100),7210,1442,
2016.5,Nyamira,Female,[15:100),8258,1651.6,
2017.5,Nyamira,Female,[15:100),8654,1730.8,
2014.5,Siaya,Male,[0:15),2645,529,
2015.5,Siaya,Male,[0:15),2950,590,
2016.5,Siaya,Male,[0:15),3017,603.4,
2017.5,Siaya,Male,[0:15),3197,639.4,
2014.5,Siaya,Male,[15:100),16163,3232.6,
2015.5,Siaya,Male,[15:100),18611,3722.2,
2016.5,Siaya,Male,[15:100),21477,4295.4,
2017.5,Siaya,Male,[15:100),23762,4752.4,
2014.5,Siaya,Female,[0:15),2778,555.6,
2015.5,Siaya,Female,[0:15),3136,627.2,
2016.5,Siaya,Female,[0:15),3299,659.8,
2017.5,Siaya,Female,[0:15),3569,713.8,
2014.5,Siaya,Female,[15:100),33911,6782.2,
2015.5,Siaya,Female,[15:100),39853,7970.6,
2016.5,Siaya,Female,[15:100),44892,8978.4,
2017.5,Siaya,Female,[15:100),48808,9761.6,
2009,Siaya,Male,[65:70),5107,,
2009,Siaya,Male,[70:75),5175,,
2009,Siaya,Male,[75:80),3549,,
2009,Siaya,Male,[80:100),4159,,
2009,Siaya,Female,[0:1),14860,,
2009,Siaya,Female,[1:5),55901,,
2009,Siaya,Female,[5:10),60710,,
2009,Siaya,Female,[10:15),56248,,
2009,Siaya,Female,[15:20),47825,,
2009,Siaya,Female,[20:25),41443,,
2009,Siaya,Female,[25:30),30135,,
2009,Siaya,Female,[30:35),22328,,
2009,Siaya,Female,[35:40),17932,,
2009,Siaya,Female,[40:45),16082,,
2009,Siaya,Female,[45:50),15486,,
2009,Siaya,Female,[50:55),14541,,
2009,Siaya,Female,[55:60),12265,,
2009,Siaya,Female,[60:65),11081,,
2009,Siaya,Female,[65:70),7732,,
2009,Siaya,Female,[70:75),7173,,
2009,Siaya,Female,[75:80),5464,,
2009,Siaya,Female,[80:100),6155,,
