Year,Province,Gender,AgeBin,Population,weight,two_sigma,Source
2009,Homa_Bay,Male,[0:1),18335,,3667,
2009,Homa_Bay,Male,[1:5),69799,,13959.8,
2009,Homa_Bay,Male,[5:10),75926,,15185.2,
2009,Homa_Bay,Male,[10:15),68689,,13737.8,
2009,Homa_Bay,Male,[15:20),57430,,11486,
2009,Homa_Bay,Male,[20:25),39573,,7914.6,
2009,Homa_Bay,Male,[25:30),30437,,6087.4,
2009,Homa_Bay,Male,[30:35),23259,,4651.8,
2009,Homa_Bay,Male,[35:40),16013,,3202.6,
2009,Homa_Bay,Male,[40:45),11914,,2382.8,
2009,Homa_Bay,Male,[45:50),11124,,2224.8,
2009,Homa_Bay,Male,[50:55),9705,,1941,
2009,Homa_Bay,Male,[55:60),8159,,1631.8,
2009,Homa_Bay,Male,[60:65),6989,,1397.8,
2009,Homa_Bay,Male,[65:70),4325,,865,
2009,Homa_Bay,Male,[70:75),4029,,805.8,
2009,Homa_Bay,Male,[75:80),2835,,567,
2009,Homa_Bay,Male,[80:100),3726,,745.2,
2009,Homa_Bay,Female,[0:1),18354,,3670.8,
2009,Homa_Bay,Female,[1:5),69250,,13850,
2009,Homa_Bay,Female,[5:10),75973,,15194.6,
2009,Homa_Bay,Female,[10:15),67159,,13431.8,
2009,Homa_Bay,Female,[15:20),54119,,10823.8,
2009,Homa_Bay,Female,[20:25),50309,,10061.8,
2009,Homa_Bay,Female,[25:30),36016,,7203.2,
2009,Homa_Bay,Female,[30:35),26342,,5268.4,
2009,Homa_Bay,Female,[35:40),20010,,4002,
2009,Homa_Bay,Female,[40:45),16513,,3302.6,
2009,Homa_Bay,Female,[45:50),15248,,3049.6,
2009,Homa_Bay,Female,[50:55),12942,,2588.4,
2009,Homa_Bay,Female,[55:60),9833,,1966.6,
2009,Homa_Bay,Female,[60:65),8587,,1717.4,
2009,Homa_Bay,Female,[65:70),5957,,1191.4,
2009,Homa_Bay,Female,[70:75),5355,,1071,
2009,Homa_Bay,Female,[75:80),3891,,778.2,
2009,Homa_Bay,Female,[80:100),5316,,1063.2,
2009,Kisii,Male,[0:1),18236,,3647.2,
2009,Kisii,Male,[1:5),69529,,13905.8,
2009,Kisii,Male,[5:10),76757,,15351.4,
2009,Kisii,Male,[10:15),68473,,13694.6,
2009,Kisii,Male,[15:20),59228,,11845.6,
2009,Kisii,Male,[20:25),41898,,8379.6,
2009,Kisii,Male,[25:30),32792,,6558.4,
2009,Kisii,Male,[30:35),26678,,5335.6,
2009,Kisii,Male,[35:40),21766,,4353.2,
2009,Kisii,Male,[40:45),15718,,3143.6,
2009,Kisii,Male,[45:50),16797,,3359.4,
2009,Kisii,Male,[50:55),12789,,2557.8,
2009,Kisii,Male,[55:60),9527,,1905.4,
2009,Kisii,Male,[60:65),7395,,1479,
2009,Kisii,Male,[65:70),4637,,927.4,
2009,Kisii,Male,[70:75),3945,,789,
2009,Kisii,Male,[75:80),2743,,548.6,
2009,Kisii,Male,[80:100),3701,,740.2,
2009,Kisii,Female,[0:1),17993,,3598.6,
2009,Kisii,Female,[1:5),69023,,13804.6,
2009,Kisii,Female,[5:10),75778,,15155.6,
2009,Kisii,Female,[10:15),68072,,13614.4,
2009,Kisii,Female,[15:20),60776,,12155.2,
2009,Kisii,Female,[20:25),58225,,11645,
2009,Kisii,Female,[25:30),42878,,8575.6,
2009,Kisii,Female,[30:35),30031,,6006.2,
2009,Kisii,Female,[35:40),26051,,5210.2,
2009,Kisii,Female,[40:45),18360,,3672,
2009,Kisii,Female,[45:50),19181,,3836.2,
2009,Kisii,Female,[50:55),14136,,2827.2,
2009,Kisii,Female,[55:60),9528,,1905.6,
2009,Kisii,Female,[60:65),7654,,1530.8,
2009,Kisii,Female,[65:70),5320,,1064,
2009,Kisii,Female,[70:75),5017,,1003.4,
2009,Kisii,Female,[75:80),3338,,667.6,
2009,Kisii,Female,[80:100),5891,,1178.2,
2009,Kisumu,Male,[0:1),17457,,3491.4,
2009,Kisumu,Male,[1:5),63054,,12610.8,
2009,Kisumu,Male,[5:10),67083,,13416.6,
2009,Kisumu,Male,[10:15),62706,,12541.2,
2009,Kisumu,Male,[15:20),55597,,11119.4,
2009,Kisumu,Male,[20:25),47281,,9456.2,
2009,Kisumu,Male,[25:30),40964,,8192.8,
2009,Kisumu,Male,[30:35),30412,,6082.4,
2009,Kisumu,Male,[35:40),21251,,4250.2,
2009,Kisumu,Male,[40:45),15145,,3029,
2009,Kisumu,Male,[45:50),13361,,2672.2,
2009,Kisumu,Male,[50:55),11251,,2250.2,
2009,Kisumu,Male,[55:60),8718,,1743.6,
2009,Kisumu,Male,[60:65),7054,,1410.8,
2009,Kisumu,Male,[65:70),4163,,832.6,
2009,Kisumu,Male,[70:75),3777,,755.4,
2009,Kisumu,Male,[75:80),2392,,478.4,
2009,Kisumu,Male,[80:100),2821,,564.2,
2009,Kisumu,Female,[0:1),16926,,3385.2,
2009,Kisumu,Female,[1:5),63172,,12634.4,
2009,Kisumu,Female,[5:10),67779,,13555.8,
2009,Kisumu,Female,[10:15),63359,,12671.8,
2009,Kisumu,Female,[15:20),56741,,11348.2,
2009,Kisumu,Female,[20:25),57649,,11529.8,
2009,Kisumu,Female,[25:30),40614,,8122.8,
2009,Kisumu,Female,[30:35),27515,,5503,
2009,Kisumu,Female,[35:40),20611,,4122.2,
2009,Kisumu,Female,[40:45),16894,,3378.8,
2009,Kisumu,Female,[45:50),15298,,3059.6,
2009,Kisumu,Female,[50:55),12504,,2500.8,
2009,Kisumu,Female,[55:60),9175,,1835,
2009,Kisumu,Female,[60:65),7597,,1519.4,
2009,Kisumu,Female,[65:70),5402,,1080.4,
2009,Kisumu,Female,[70:75),4757,,951.4,
2009,Kisumu,Female,[75:80),3356,,671.2,
2009,Kisumu,Female,[80:100),4615,,923,
2009,Migori,Male,[0:1),19265,,3853,
2009,Migori,Male,[1:5),69921,,13984.2,
2009,Migori,Male,[5:10),73872,,14774.4,
2009,Migori,Male,[10:15),64300,,12860,
2009,Migori,Male,[15:20),53075,,10615,
2009,Migori,Male,[20:25),38690,,7738,
2009,Migori,Male,[25:30),30727,,6145.4,
2009,Migori,Male,[30:35),23344,,4668.8,
2009,Migori,Male,[35:40),17024,,3404.8,
2009,Migori,Male,[40:45),12170,,2434,
2009,Migori,Male,[45:50),10549,,2109.8,
2009,Migori,Male,[50:55),8565,,1713,
2009,Migori,Male,[55:60),6399,,1279.8,
2009,Migori,Male,[60:65),5250,,1050,
2009,Migori,Male,[65:70),3382,,676.4,
2009,Migori,Male,[70:75),2907,,581.4,
2009,Migori,Male,[75:80),2033,,406.6,
2009,Migori,Male,[80:100),2624,,524.8,
2009,Migori,Female,[0:1),19309,,3861.8,
2009,Migori,Female,[1:5),69519,,13903.8,
2009,Migori,Female,[5:10),74333,,14866.6,
2009,Migori,Female,[10:15),63249,,12649.8,
2009,Migori,Female,[15:20),52238,,10447.6,
2009,Migori,Female,[20:25),48004,,9600.8,
2009,Migori,Female,[25:30),34670,,6934,
2009,Migori,Female,[30:35),25630,,5126,
2009,Migori,Female,[35:40),19313,,3862.6,
2009,Migori,Female,[40:45),14773,,2954.6,
2009,Migori,Female,[45:50),12888,,2577.6,
2009,Migori,Female,[50:55),10314,,2062.8,
2009,Migori,Female,[55:60),7692,,1538.4,
2009,Migori,Female,[60:65),6000,,1200,
2009,Migori,Female,[65:70),4508,,901.6,
2009,Migori,Female,[70:75),3524,,704.8,
2009,Migori,Female,[75:80),2968,,593.6,
2009,Migori,Female,[80:100),3636,,727.2,
2009,Nyamira,Male,[0:1),10313,,2062.6,
2009,Nyamira,Male,[1:5),41165,,8233,
2009,Nyamira,Male,[5:10),46450,,9290,
2009,Nyamira,Male,[10:15),42590,,8518,
2009,Nyamira,Male,[15:20),36604,,7320.8,
2009,Nyamira,Male,[20:25),24409,,4881.8,
2009,Nyamira,Male,[25:30),19515,,3903,
2009,Nyamira,Male,[30:35),16605,,3321,
2009,Nyamira,Male,[35:40),14039,,2807.8,
2009,Nyamira,Male,[40:45),10470,,2094,
2009,Nyamira,Male,[45:50),11318,,2263.6,
2009,Nyamira,Male,[50:55),8379,,1675.8,
2009,Nyamira,Male,[55:60),5999,,1199.8,
2009,Nyamira,Male,[60:65),5026,,1005.2,
2009,Nyamira,Male,[65:70),3094,,618.8,
2009,Nyamira,Male,[70:75),2753,,550.6,
