Year,Province,Gender,AgeBin,Prevalence,effective_count,Source
2003,Homa_Bay,Male,[15:50),0.109716048,21,
2003,Kisii,Male,[15:50),0.011418711,62,
2003,Kisumu,Male,[15:50),0.166320119,58,
2003,Migori,Male,[15:50),0.180396609,17,
2003,Nyamira,Male,[15:50),0.002884598,160,
2003,Siaya,Male,[15:50),0.182369603,162,
2007,Homa_Bay,Male,[15:50),0.251393215,102,
2007,Kisii,Male,[15:50),0.044461965,391,
2007,Kisumu,Male,[15:50),0.113904659,125,
2007,Migori,Male,[15:50),0.168521935,103,
2007,Siaya,Male,[15:50),0.144450784,151,
2009,Homa_Bay,Male,[15:50),0.173665702,84,
2009,Kisii,Male,[15:50),0.032975724,120,
2009,Kisumu,Male,[15:50),0.110858399,74,
2009,Migori,Male,[15:50),0.192257979,57,
2009,Nyamira,Male,[15:50),0.023374447,58,
2009,Siaya,Male,[15:50),0.15262638,241,
2012,Homa_Bay,Male,[15:50),0.221702414,135,
2012,Kisii,Male,[15:50),0.034647574,134,
2012,Kisumu,Male,[15:50),0.194016562,67,
2012,Migori,Male,[15:50),0.143507825,63,
2012,Nyamira,Male,[15:50),0.041869524,110,
2012,Siaya,Male,[15:50),0.259606454,97,
2003,Homa_Bay,Female,[15:50),0.245767855,28,
2003,Kisii,Female,[15:50),0.085311852,111,
2003,Kisumu,Female,[15:50),0.191361948,63,
2003,Migori,Female,[15:50),0.186033218,24,
2003,Nyamira,Female,[15:50),0.074182027,31,
2003,Siaya,Female,[15:50),0.242356421,72,
2007,Homa_Bay,Female,[15:50),0.325905563,457,
2007,Kisii,Female,[15:50),0.069307525,542,
2007,Kisumu,Female,[15:50),0.184740957,91,
2007,Migori,Female,[15:50),0.218145671,118,
2007,Siaya,Female,[15:50),0.212999806,454,
2009,Homa_Bay,Female,[15:50),0.252430518,134,
2009,Kisii,Female,[15:50),0.057254454,95,
2009,Kisumu,Female,[15:50),0.181045575,125,
2009,Migori,Female,[15:50),0.222768964,311,
2009,Nyamira,Female,[15:50),0.054351447,90,
2009,Siaya,Female,[15:50),0.19213261,43,
2012,Homa_Bay,Female,[15:50),0.27868743,223,
2012,Kisii,Female,[15:50),0.036778806,215,
2012,Kisumu,Female,[15:50),0.202245146,415,
2012,Migori,Female,[15:50),0.192476086,43,
2012,Nyamira,Female,[15:50),0.104474759,303,
2012,Siaya,Female,[15:50),0.29901491,105,
2003,All,Male,[15:20),0.001479873,248,
2003,All,Male,[20:25),0.056208227,35,
2003,All,Male,[25:30),0.24292621,30,
2003,All,Male,[30:35),0.184026882,16,
2003,All,Male,[35:40),0.206358498,19,
2003,All,Male,[40:45),0.253299305,21,
2003,All,Male,[45:50),0.162360023,17,
2003,All,Male,[50:55),0.214902005,17,
2007,All,Male,[15:20),0.012122468,135,
2007,All,Male,[20:25),0.025707499,152,
2007,All,Male,[25:30),0.195583514,53,
2007,All,Male,[30:35),0.257769018,60,
2007,All,Male,[35:40),0.238365324,41,
2007,All,Male,[40:45),0.202433628,43,
2007,All,Male,[45:50),0.210277963,50,
2007,All,Male,[50:55),0.183444288,43,
2008,All,Male,[15:20),0.018393629,63,
2008,All,Male,[20:25),0.057821149,37,
2008,All,Male,[25:30),0.244986905,55,
2008,All,Male,[30:35),0.152976969,35,
2008,All,Male,[35:40),0.227484627,25,
2008,All,Male,[40:45),0.250109945,17,
2008,All,Male,[45:50),0.13311369,12,
2008,All,Male,[50:55),0.159093596,21,
2012,All,Male,[15:20),0.015054901,61,
2012,All,Male,[20:25),0.028906336,36,
2012,All,Male,[25:30),0.210664566,20,
2012,All,Male,[30:35),0.239173242,50,
2012,All,Male,[35:40),0.195456108,32,
2012,All,Male,[40:45),0.313225173,31,
2012,All,Male,[45:50),0.162335881,21,
2012,All,Male,[50:55),0.207059498,41,
2003,All,Female,[15:20),0.045872948,91,
2003,All,Female,[20:25),0.299703063,63,
2003,All,Female,[25:30),0.230106227,38,
2003,All,Female,[30:35),0.163207599,33,
2003,All,Female,[35:40),0.183845189,27,
2003,All,Female,[40:45),0.34999397,19,
2003,All,Female,[45:50),0.165094268,9,
2007,All,Female,[15:20),0.077323955,114,
2007,All,Female,[20:25),0.205593427,153,
2007,All,Female,[25:30),0.245429746,129,
2007,All,Female,[30:35),0.25756432,67,
2007,All,Female,[35:40),0.222697401,105,
2007,All,Female,[40:45),0.179930303,60,
2007,All,Female,[45:50),0.129058318,73,
2008,All,Female,[15:20),0.107836066,94,
2008,All,Female,[20:25),0.120074591,125,
2008,All,Female,[25:30),0.222771294,46,
2008,All,Female,[30:35),0.259287472,30,
2008,All,Female,[35:40),0.225920464,46,
2008,All,Female,[40:45),0.092730679,32,
2008,All,Female,[45:50),0.171560172,27,
2012,All,Female,[15:20),0.04864618,106,
2012,All,Female,[20:25),0.141052639,92,
2012,All,Female,[25:30),0.245431366,67,
2012,All,Female,[30:35),0.204732378,58,
2012,All,Female,[35:40),0.281058888,46,
2012,All,Female,[40:45),0.169398528,42,
2012,All,Female,[45:50),0.228696158,40,
2003,All,Male,[15:50),0.116,137,
2003,All,Female,[15:50),0.183,201,
2007,All,Male,[15:50),0.114,415,
2007,All,Female,[15:50),0.176,436,
2008,All,Male,[15:50),0.114,266,
2008,All,Female,[15:50),0.16,281,
2012,All,Male,[15:50),0.134,233,
2012,All,Female,[15:50),0.176,247,
2018,Homa_Bay,Both,[15:50),0.191441806,299.1680317,
2018,Homa_Bay,Female,[15:50),0.253176654,193.0326539,
2018,Homa_Bay,Male,[15:50),0.12794105,399.6718571,
2018,Kisii,Both,[15:50),0.057495694,180.2130283,
2018,Kisii,Female,[15:50),0.068440034,205.4261351,
2018,Kisii,Male,[15:50),0.045803446,96.65972797,
2018,Kisumu,Both,[15:50),0.155852238,274.8123826,
2018,Kisumu,Female,[15:50),0.209645578,158.522431,
2018,Kisumu,Male,[15:50),0.096041338,195.1975533,
2018,Migori,Both,[15:50),0.126116025,240.7015955,
2018,Migori,Female,[15:50),0.175799842,217.5926636,
2018,Migori,Male,[15:50),0.070564211,140.4169784,
2018,Nyamira,Both,[15:50),0.03477799,491.1813383,
2018,Nyamira,Female,[15:50),0.043166943,258.4337176,
2018,Nyamira,Male,[15:50),0.024703092,164.7369499,
2018,Siaya,Both,[15:50),0.142957642,395.9996508,
2018,Siaya,Female,[15:50),0.190520728,230.8390767,
2018,Siaya,Male,[15:50),0.096091665,235.0160221,
2018,All,Both,[15:20),0.015880346,730.6221311,
2018,All,Female,[15:20),0.029410294,357.7575532,
2018,All,Male,[15:20),0.002477187,569.7263157,
2018,All,Both,[20:25),0.059047948,413.8238568,
2018,All,Female,[20:25),0.091042011,234.5574508,
2018,All,Male,[20:25),0.021581322,115.1555139,
2018,All,Both,[25:30),0.155214114,328.5812709,
2018,All,Female,[25:30),0.233426447,276.45887,
2018,All,Male,[25:30),0.070460551,117.9007643,
2018,All,Both,[30:35),0.188015433,362.5400867,
2018,All,Female,[30:35),0.269639963,305.2460856,
2018,All,Male,[30:35),0.091061281,157.7290661,
2018,All,Both,[35:40),0.218193649,321.3984825,
2018,All,Female,[35:40),0.270518094,126.7716404,
2018,All,Male,[35:40),0.167493964,186.7341549,
2018,All,Both,[40:45),0.242609929,240.4771465,
2018,All,Female,[40:45),0.276512307,209.1996711,
2018,All,Male,[40:45),0.207504054,115.4060347,
2018,All,Both,[45:50),0.236641339,199.8031101,
2018,All,Female,[45:50),0.199068159,143.370246,
2018,All,Male,[45:50),0.27960811,72.47020522,
